"","Date","ID","Druck","Kraft","HaltZeit","Temp","Dicke1","Dicke2","Dicke3","Dicke4","Dicke","Bieg","BiegSteif","maxKraft","BiegMax","Abst1","Abst2","Abst3","Abst4","kAbst.l","kAbst.k","Energ","FasSchH","Blase","Schmelz","DickeQuality","BiegQuality"
"44",2011-04-18,"230",15,430,3,200,2.95,2.95,3.3,3.3,3.125,8.4,595.238095238095,6970,24.07,265,140,148,135,41.5,27.5,NA,"stark","ja","gut",0,0
"45",2011-04-18,"231",15,430,3,200,2.95,2.95,3.4,3.4,3.175,8.51,587.544065804935,7280,19.31,265,140,148,135,40.5,27.3,NA,"stark","ja","gut",0,0
"46",2011-04-18,"234",10,280,1,180,3.65,3.6,4,4,3.8125,6.09,821.018062397373,8040,24.83,260,130,152,122,40.5,27.5,NA,"stark","ja","gut",0,1
"47",2011-04-18,"235",10,280,1,180,3.65,3.65,4,4,3.825,6.25,800,8190,24.82,262,130,142,120,40.5,24,NA,"stark","ja","gut",0,1
"49",2011-04-14,"194",15,430,1,190,3.1,3,3.3,3.3,3.175,7.12,702.247191011236,7870,19.54,262,130,145,130,41.5,26,NA,"stark","ja","gut",0,0
"50",2011-04-18,"241",10,280,2,180,3.7,3.65,4,4,3.8375,6.12,816.993464052288,8230,24.82,260,122,145,122,40.8,23.8,NA,"stark","ja","gut",0,1
"51",2011-04-18,"242",10,280,2,180,3.7,3.65,4,4,3.8375,6.03,829.187396351575,8310,24.82,260,132,144,122,40.5,24,NA,"stark","nein","gut",0,1
"52",2011-04-18,"248",10,280,3,180,3.7,3.65,4,4,3.8375,6.01,831.946755407654,8400,24.82,260,122,144,122,40.5,23.8,NA,"stark","ja","gut",0,1
"53",2011-04-18,"250",10,280,3,180,3.7,3.65,4,4,3.8375,6,833.333333333333,8430,24.82,260,125,144,122,40.5,23.8,NA,"stark","ja","gut",0,1
"54",2011-04-18,"251",10,280,3,180,3.7,3.7,4,4,3.85,5.8,862.068965517241,8840,24.81,260,122,144,122,40.3,24,NA,"stark","ja","gut",0,1
"55",2011-04-18,"254",10,280,1,190,3.7,3.7,4,4,3.85,5.91,846.023688663283,8440,24.82,260,125,145,125,40.3,24.3,NA,"stark","ja","gut",0,1
"56",2011-04-18,"252",10,280,1,190,3.7,3.7,4,4,3.85,5.99,834.724540901502,8600,24.82,262,122,145,122,40.5,24,NA,"stark","ja","gut",0,1
"57",2011-04-18,"255",10,280,1,190,3.7,3.7,4,4,3.85,5.96,838.926174496644,8200,24.82,262,125,144,125,40.5,24,NA,"stark","ja","gut",0,1
"58",2011-04-18,"256",10,280,2,190,3.7,3.7,4,4,3.85,5.86,853.242320819113,8720,24.81,260,125,145,122,40.5,25,NA,"stark","ja","gut",0,1
"59",2011-04-18,"257",10,280,2,190,3.7,3.65,4,4,3.8375,5.83,857.632933104631,8660,24.82,262,127,145,125,40.5,24.8,NA,"stark","nein","gut",0,1
"61",2011-04-19,"360",10,280,3,190,3.6,3.6,4,4,3.8,5.75,869.565217391304,9240,24.41,262,128,144,125,40.5,24.5,NA,"stark","ja","gut",0,1
"62",2011-04-19,"261",10,280,3,190,3.7,3.7,4,4,3.85,5.87,851.788756388416,8460,24.82,262,130,145,125,40.3,25,NA,"stark","ja","gut",0,1
"63",2011-04-19,"262",10,280,3,190,3.7,3.7,4,4,3.85,6.04,827.814569536424,8250,24.82,262,128,145,128,40.5,25.3,NA,"stark","ja","gut",0,1
"70",2011-05-03,"359",10,280,2,200,3.5,3.9,4,3.65,3.7625,6.18,809.061488673139,8660,24.81,260,135,145,128,40.5,26.3,NA,"tol","ja","gut",0,1
"73",2011-05-03,"360",10,280,3,200,3.5,4,4,2.7,3.55,6.36,786.163522012579,8200,24.82,260,125,145,125,40.5,25,NA,"tol","ja","gut",0,0
"74",2011-05-03,"362",10,280,3,200,3.5,3.9,4,3.7,3.775,6.2,806.451612903226,8490,24.82,260,125,145,125,40.5,25,NA,"tol","ja","gut",0,1
"75",2011-05-03,"361",10,280,3,200,3.5,3.8,4,3.7,3.75,6.38,783.699059561129,8260,24.74,260,128,145,128,40.5,25.6,NA,"tol","ja","gut",0,0
"77",2011-04-18,"237",10,280,1,180,3.65,3.65,4,4,3.825,6.12,816.993464052288,8390,24.82,262,132,145,122,40.5,23.5,NA,"stark","ja","gut",0,1
"78",2011-07-19,"552",14,400,2,185,3.1,3.15,3.4,3.4,3.2625,7.89,633.713561470215,6000,10,260,131,150,128,41,25.9,2739,"kein","nein","gut",0,0
"81",2011-07-18,"530",20,575,3,180,2.8,2.9,3.1,3,2.95,7.19,695.410292072323,6000,10,265,135,155,130,42.5,26.5,3095,"tol","nein","schlecht",1,0
"82",2011-07-18,"533",20,575,1,180,2.9,2.95,3,3,2.9625,7.56,661.375661375661,5750,10,265,135,155,132,42,26.7,2494,"kein","ja","gut",1,0
"83",2011-07-18,"532",20,575,2,180,2.7,2.85,2.95,2.95,2.8625,7.72,647.668393782383,6000,11,268,138,155,135,42.3,27.3,2558,"kein","nein","gut",1,0
"84",2011-07-18,"534",18,512,3,180,2.8,2.9,3,3,2.925,7.56,661.375661375661,6000,10,270,135,158,137,42.8,27.2,2782,"kein","nein","gut",1,0
"85",2011-07-18,"535",18,512,2,180,2.85,2.95,3.05,3.05,2.975,7.27,687.757909215956,6000,10,266,132,152,132,41.8,26.4,2778,"kein","nein","gut",1,0
"86",2011-07-18,"536",18,512,1,180,2.95,2.95,3.1,3.1,3.025,7.07,707.213578500707,6500,11,262,132,155,130,41.7,26.2,2670,"kein","nein","gut",0,0
"87",2011-07-18,"537",16,460,3,180,2.9,2.95,3.05,3.1,3,6.57,761.03500761035,6600,11,265,132,152,132,41.7,26.4,2756,"kein","nein","gut",1,0
"88",2011-07-18,"538",16,460,2,180,3,3,3.15,3.15,3.075,6.54,764.525993883792,6300,10,265,132,152,130,41.7,26.2,2678,"kein","nein","mittel",0,0
"90",2011-07-18,"540",14,400,3,180,3.1,3.2,3.35,3.35,3.25,8.67,576.701268742791,5500,10,260,135,150,130,41,26.5,2842,"kein","nein","gut",0,0
"91",2011-07-18,"541",14,400,2,180,3.1,3.2,3.4,3.4,3.275,8.64,578.703703703704,5600,10,260,130,150,128,41,25.8,2638,"kein","nein","gut",0,0
"92",2011-07-18,"542",12,340,3,180,3.35,3.35,3.6,3.65,3.4875,7.58,659.630606860158,5750,10,260,125,145,122,40.5,24.7,2710,"kein","nein","mittel",0,0
"93",2011-07-19,"543",20,575,2,185,2.65,2.65,2.7,2.7,2.675,11.77,424.808836023789,4700,10,278,142,160,146,43.8,28.8,2710,"kein","nein","gut",1,0
"94",2011-07-19,"544",20,575,1,185,2.75,2.85,2.95,2.9,2.8625,11.003,454.421521403254,5500,10,267,132,156,136,42.3,26.8,2466,"kein","nein","gut",1,0
"95",2011-07-19,"545",18,512,3,185,2.75,2.75,2.9,2.9,2.825,10.52,475.285171102662,5000,10,274,140,158,140,43.2,28,2990,"kein","nein","mittel",1,0
"96",2011-07-19,"546",18,512,2,185,2.8,2.9,3,3,2.925,9.2,543.478260869565,5500,10,266,135,155,135,42.1,27,2772,"kein","nein","gut",1,0
"97",2011-07-19,"547",18,512,1,185,2.9,3,3.1,3.1,3.025,8.74,572.0823798627,6000,11,262,130,152,132,41.4,26.2,2471,"kein","nein","gut",0,0
"98",2011-07-19,"548",16,460,3,185,2.9,2.9,3.05,3.05,2.975,8.88,563.063063063063,5500,10,267,135,155,135,42.2,27,2959,"kein","nein","gut",1,0
"99",2011-07-19,"549",16,460,2,185,2.95,3,3.1,3.1,3.0375,8.88,563.063063063063,5600,10,265,130,152,132,41.7,26.2,2758,"kein","nein","gut",0,0
